region,address,scheme,datacenter,http_auth_username,http_auth_password,wait_time,token,tls_config_address,tls_config_ca_path,tls_config_ca_file,tls_config_cert_file,tls_config_key_file,tls_config_insecure_skip_verify,memory_total,memory_allocated,cores_total,cores_allocated,status
DEN,consul-node-01.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1234,consul-node-01.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-01.crt,/etc/consul/node-01.key,false,2000000000000,0,32,0,available
DEN,consul-node-02.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1235,consul-node-02.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-02.crt,/etc/consul/node-02.key,false,2000000000000,0,32,0,available
DEN,consul-node-03.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1236,consul-node-03.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-03.crt,/etc/consul/node-03.key,false,2000000000000,0,32,0,available
DEN,consul-node-04.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1237,consul-node-04.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-04.crt,/etc/consul/node-04.key,false,2000000000000,0,32,0,available
DEN,consul-node-05.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1238,consul-node-05.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-05.crt,/etc/consul/node-05.key,false,2000000000000,0,32,0,available
DEN,consul-node-06.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1239,consul-node-06.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-06.crt,/etc/consul/node-06.key,false,2000000000000,0,32,0,available
DEN,consul-node-07.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1240,consul-node-07.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-07.crt,/etc/consul/node-07.key,false,2000000000000,0,32,0,available
DEN,consul-node-08.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1241,consul-node-08.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-08.crt,/etc/consul/node-08.key,false,2000000000000,0,32,0,available
DEN,consul-node-09.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1242,consul-node-09.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-09.crt,/etc/consul/node-09.key,false,2000000000000,0,32,0,available
ARN,consul-node-12.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1245,consul-node-12.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-12.crt,/etc/consul/node-12.key,false,2000000000000,0,32,0,available
ARN,consul-node-15.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1248,consul-node-15.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-15.crt,/etc/consul/node-15.key,false,2000000000000,0,32,0,available
ARN,consul-node-16.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1249,consul-node-16.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-16.crt,/etc/consul/node-16.key,false,2000000000000,0,32,0,available
ARN,consul-node-18.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1251,consul-node-18.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-18.crt,/etc/consul/node-18.key,false,2000000000000,0,32,0,available
ARN,consul-node-20.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1253,consul-node-20.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-20.crt,/etc/consul/node-20.key,false,2000000000000,0,32,0,available
ARN,consul-node-24.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1257,consul-node-24.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-24.crt,/etc/consul/node-24.key,false,2000000000000,0,32,0,available
ARN,consul-node-25.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1258,consul-node-25.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-25.crt,/etc/consul/node-25.key,false,2000000000000,0,32,0,available
ARN,consul-node-27.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1260,consul-node-27.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-27.crt,/etc/consul/node-27.key,false,2000000000000,0,32,0,available
ARN,consul-node-29.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1262,consul-node-29.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-29.crt,/etc/consul/node-29.key,false,2000000000000,0,32,0,available
ARN,consul-node-31.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1264,consul-node-31.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-31.crt,/etc/consul/node-31.key,false,2000000000000,0,32,0,available
BOM,consul-node-32.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1265,consul-node-32.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-32.crt,/etc/consul/node-32.key,false,2000000000000,0,32,0,available
BOM,consul-node-33.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1266,consul-node-33.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-33.crt,/etc/consul/node-33.key,false,2000000000000,0,32,0,available
BOM,consul-node-35.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1268,consul-node-35.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-35.crt,/etc/consul/node-35.key,false,2000000000000,0,32,0,available
BOM,consul-node-38.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1271,consul-node-38.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-38.crt,/etc/consul/node-38.key,false,2000000000000,0,32,0,available
BOM,consul-node-41.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1274,consul-node-41.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-41.crt,/etc/consul/node-41.key,false,2000000000000,0,32,0,available
BOM,consul-node-42.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1275,consul-node-42.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-42.crt,/etc/consul/node-42.key,false,2000000000000,0,32,0,available
BOM,consul-node-45.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1278,consul-node-45.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-45.crt,/etc/consul/node-45.key,false,2000000000000,0,32,0,available
BOM,consul-node-46.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1279,consul-node-46.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-46.crt,/etc/consul/node-46.key,false,2000000000000,0,32,0,available
BOM,consul-node-48.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1281,consul-node-48.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-48.crt,/etc/consul/node-48.key,false,2000000000000,0,32,0,available
BOM,consul-node-49.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1282,consul-node-49.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-49.crt,/etc/consul/node-49.key,false,2000000000000,0,32,0,available
GDL,consul-node-51.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1284,consul-node-51.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-51.crt,/etc/consul/node-51.key,false,2000000000000,0,32,0,available
GDL,consul-node-52.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1285,consul-node-52.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-52.crt,/etc/consul/node-52.key,false,2000000000000,0,32,0,available
GDL,consul-node-53.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1286,consul-node-53.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-53.crt,/etc/consul/node-53.key,false,2000000000000,0,32,0,available
GDL,consul-node-54.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1287,consul-node-54.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-54.crt,/etc/consul/node-54.key,false,2000000000000,0,32,0,available
GDL,consul-node-56.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1289,consul-node-56.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-56.crt,/etc/consul/node-56.key,false,2000000000000,0,32,0,available
GDL,consul-node-60.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1293,consul-node-60.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-60.crt,/etc/consul/node-60.key,false,2000000000000,0,32,0,available
GDL,consul-node-61.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1294,consul-node-61.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-61.crt,/etc/consul/node-61.key,false,2000000000000,0,32,0,available
GDL,consul-node-64.dc-1.internal:8500,https,dc-1,admin,securepass123,10,abcd1234-ef56-7890-ghij-klmnopqr1297,consul-node-64.dc-1.internal:8500,/etc/ssl/certs,/etc/consul/ca.crt,/etc/consul/node-64.crt,/etc/consul/node-64.key,false,2000000000000,0,32,0,available
GDL,consul-node-1.example.com:8500,https,us-west-1,admin,securepass123,15,abc123-token-1,consul-tls.example.com:8501,/etc/ssl/certs,/etc/ssl/ca.crt,/etc/ssl/client.crt,/etc/ssl/client.key,false,2000000000000,0,32,0,available
GDL,consul-node-2.example.com:8500,https,us-west-2,operator,pass456word,12,def456-token-2,consul-secure.example.com:8501,/opt/consul/certs,/opt/consul/ca.pem,/opt/consul/client.pem,/opt/consul/client.key,true,2000000000000,0,32,0,available
GRU,10.0.1.100:8500,http,eu-central-1,consul_user,consul_pass,20,ghi789-token-3,,/usr/share/ca-certificates,/usr/share/ca-certificates/ca.crt,/etc/ssl/certs/client.crt,/etc/ssl/private/client.key,false,2000000000000,0,32,0,available
GRU,localhost:8500,http,dc-east,service_account,mypassword2024,10,jkl012-token-4,localhost:8501,/var/consul/ca,/var/consul/ca.crt,/var/consul/cert.pem,/var/consul/key.pem,true,2000000000000,0,32,0,available
GRU,192.168.1.50:8500,https,dc-west,admin,AdminPass123,18,mno345-token-5,192.168.1.50:8501,/etc/pki/tls,/etc/pki/tls/ca-bundle.crt,/etc/pki/tls/certs/client.crt,/etc/pki/tls/private/client.key,false,2000000000000,0,32,0,available
GRU,consul-cluster-1.internal:8500,https,us-east-1,user,UserPass789,25,pqr678-token-6,consul-cluster-1.internal:8501,/opt/certs,/opt/certs/ca.crt,/opt/certs/client.crt,/opt/certs/client.key,false,2000000000000,0,32,0,available
GRU,127.0.0.1:8500,http,local-dc,test_user,testpass123,8,stu901-token-7,,,,,,true,2000000000000,0,32,0,available
GRU,consul.service.consul:8500,https,dc-north,consul_admin,Admin2024!,22,vwx234-token-8,consul-tls.service.consul:8501,/ssl/ca,/ssl/ca.crt,/ssl/client.crt,/ssl/client.key,false,2000000000000,0,32,0,available
GRU,10.10.10.100:8500,http,dc-south,app_user,AppPassword456,16,yza567-token-9,,,,,,true,2000000000000,0,32,0,available
GRU,consul-node-3.example.com:8500,https,us-central-1,deploy_user,DeployPass789,14,bcd890-token-10,consul-node-3.example.com:8501,/etc/consul/ssl,/etc/consul/ssl/ca.crt,/etc/consul/ssl/consul.crt,/etc/consul/ssl/consul.key,false,2000000000000,0,32,0,available
GRU,172.16.0.200:8500,https,eu-west-1,ops_user,OpsPass123,19,cde123-token-11,172.16.0.200:8501,/opt/tls,/opt/tls/ca.crt,/opt/tls/client.crt,/opt/tls/client.key,true,2000000000000,0,32,0,available
